1.76	1.90	1850	3532
1.77	1.94	1940	3732
1.78	1.98	2060	3957
1.79	2.02	2180	4157
1.80	2.06	2680	4407
1.81	2.10	3280	4807
1.82	2.14	3680	5207
1.83	2.18	4080	5507
1.84	2.22	4680	5807
1.85	2.26	5280	6107
1.86	2.30	4780	6057
1.87	2.34	4280	6007
1.88	2.38	3780	5957
1.89	2.42	3280	5907
1.90	2.46	2780	5857
1.91	2.50	2680	5807
1.92	2.54	2380	5757
1.93	2.58	2370	5707
1.94	2.62	2360	5657
1.95	2.66	2350	5607
1.96	2.70	2340	5557
1.97	2.74	2330	5507
1.98	2.78	2320	5457
1.99	2.82	2310	5407
2.00	2.86	2300	5357
